"Name","Team","G","HR","ISO","SLG","FB%","HR/FB","Hard%","playerid"
"Mookie Betts","BOS","136","32",".294",".640","44.9%","16.4%","44.5%","13611"
"Mike Trout","LAA","140","39",".316",".628","45.3%","24.5%","44.4%","10155"
"J.D. Martinez","BOS","150","43",".299",".629","34.0%","29.5%","44.9%","6184"
"Christian Yelich","MIL","147","36",".272",".598","23.5%","35.0%","47.6%","11477"
"Alex Bregman","HOU","157","31",".246",".532","43.4%","14.0%","35.4%","17678"
"Jose Ramirez","CLE","157","39",".282",".552","45.9%","16.9%","36.1%","13510"
"Nolan Arenado","COL","156","38",".264",".561","38.8%","20.7%","42.9%","9777"
"Paul Goldschmidt","ARI","158","33",".243",".533","36.4%","21.6%","46.2%","9218"
"Brandon Nimmo","NYM","140","17",".219",".483","33.3%","17.5%","37.2%","12927"
"Trevor Story","COL","157","37",".276",".567","43.1%","19.9%","44.5%","12564"
"Anthony Rendon","WSN","136","24",".227",".535","43.6%","12.1%","37.8%","12861"
"Freddie Freeman","ATL","162","23",".196",".505","31.3%","14.9%","41.9%","5361"
"Manny Machado","- - -","162","37",".241",".538","42.2%","16.4%","38.6%","11493"
"Eugenio Suarez","CIN","143","34",".243",".526","37.1%","23.4%","48.6%","12552"
"Bryce Harper","WSN","159","34",".247",".496","38.0%","23.1%","42.3%","11579"
"Matt Carpenter","STL","156","36",".266",".523","46.9%","19.1%","49.0%","8090"
"Jesus Aguilar","MIL","149","35",".264",".539","40.9%","23.8%","44.0%","11342"
"Xander Bogaerts","BOS","136","23",".234",".522","35.6%","15.5%","37.9%","12161"
"Joey Votto","CIN","145","12",".135",".419","31.1%","9.5%","41.0%","4314"
"Matt Chapman","OAK","145","24",".230",".508","39.3%","15.2%","43.2%","16505"
"Francisco Lindor","CLE","158","38",".242",".519","39.6%","17.3%","41.6%","12916"
"David Peralta","ARI","146","30",".223",".516","29.2%","23.4%","48.6%","2136"
"Charlie Blackmon","COL","156","29",".211",".502","33.4%","17.7%","35.8%","7859"
"Mitch Haniger","SEA","157","26",".208",".493","36.3%","15.8%","37.1%","14274"
"Javier Baez","CHC","160","34",".264",".554","32.3%","24.3%","35.8%","12979"
"Khris Davis","OAK","151","48",".302",".549","48.8%","24.1%","45.3%","9112"
"Jose Altuve","HOU","137","13",".135",".451","30.0%","9.6%","33.3%","5417"
"Rhys Hoskins","PHI","153","34",".251",".496","51.7%","16.0%","34.5%","16472"
"Nick Castellanos","DET","157","23",".202",".500","35.8%","13.6%","47.9%","11737"
"Scooter Gennett","CIN","154","23",".180",".490","36.2%","13.8%","38.8%","10339"
"Miguel Andujar","NYY","149","27",".230",".527","35.8%","15.7%","36.0%","15878"
"Nelson Cruz","SEA","144","37",".252",".509","38.5%","24.0%","42.3%","2434"
"Aaron Hicks","NYY","137","27",".219",".467","38.4%","19.0%","39.5%","5297"
