"Name","Team","G","HR","ISO","wRC+","FB%","HR/FB","Hard%","playerid"
"Cody Bellinger","LAD","82","27",".349","185","38.4%","28.7%","53.0%","15998"
"Christian Yelich","MIL","77","29",".376","177","38.8%","33.0%","53.7%","11477"
"Mike Trout","LAA","81","22",".308","172","45.8%","22.2%","44.9%","10155"
"Charlie Blackmon","COL","68","20",".316","150","39.0%","21.3%","38.3%","7859"
"Anthony Rendon","WSN","69","19",".319","157","50.0%","17.8%","51.9%","12861"
"Freddie Freeman","ATL","84","22",".279","151","34.1%","24.4%","51.1%","5361"
"Pete Alonso","NYM","84","28",".350","159","40.6%","31.5%","45.2%","19251"
"Josh Bell","PIT","81","22",".324","150","35.7%","25.3%","48.0%","13145"
"Carlos Santana","CLE","82","18",".241","148","34.6%","21.7%","46.3%","2396"
"Nolan Arenado","COL","83","20",".261","131","41.9%","17.1%","41.9%","9777"
"Kris Bryant","CHC","80","16",".250","142","40.6%","17.2%","35.7%","15429"
"Juan Soto","WSN","73","14",".237","141","33.3%","21.5%","35.9%","20123"
"Jeff McNeil","NYM","71","6",".161","148","33.3%","7.9%","39.8%","15362"
"DJ LeMahieu","NYY","76","12",".188","145","26.2%","17.1%","37.5%","9874"
"Xander Bogaerts","BOS","81","16",".241","139","39.7%","16.0%","39.3%","12161"
"Willson Contreras","CHC","72","17",".272","139","34.7%","29.3%","36.3%","11609"
"Alex Bregman","HOU","83","22",".266","145","44.6%","19.1%","40.7%","17678"
"Rhys Hoskins","PHI","83","19",".261","135","50.2%","17.9%","46.9%","16472"
"Ketel Marte","ARI","82","20",".261","134","36.4%","19.6%","43.8%","13613"
"Max Muncy","LAD","83","20",".265","138","36.8%","26.0%","44.8%","13301"
"Luke Voit","NYY","78","17",".229","140","34.3%","24.3%","38.7%","14811"
"J.D. Martinez","BOS","74","18",".251","135","39.5%","19.6%","45.9%","6184"
"Mike Moustakas","MIL","77","23",".295","133","44.0%","22.3%","44.5%","4892"
"Anthony Rizzo","CHC","80","19",".249","133","36.0%","21.8%","40.3%","3473"
"David Dahl","COL","75","12",".235","120","33.5%","17.4%","37.0%","13744"
"Trevor Story","COL","72","17",".253","120","42.9%","18.9%","45.5%","12564"
"Matt Chapman","OAK","84","21",".281","140","39.7%","21.0%","46.0%","16505"
"Gleyber Torres","NYY","76","19",".253","137","41.9%","21.1%","41.7%","16997"
"Yasmani Grandal","MIL","77","18",".265","131","40.1%","22.8%","49.5%","11368"
"Daniel Vogelbach","SEA","79","20",".275","140","49.2%","21.5%","42.9%","14130"
"Jorge Polanco","MIN","79","11",".201","135","50.5%","8.0%","39.9%","13152"
"Ronald Acuna Jr.","ATL","84","20",".218","129","36.9%","21.5%","44.8%","18401"
"Rafael Devers","BOS","81","12",".203","130","30.8%","14.8%","34.7%","17350"
"Gary Sanchez","NYY","62","23",".328","134","50.6%","27.1%","47.0%","11442"
"Trey Mancini","BAL","78","17",".243","131","33.5%","21.3%","37.2%","15149"
"Hunter Renfroe","SDP","74","24",".361","132","47.3%","30.0%","49.7%","15464"
