"Name","Team","G","HR","wRC+","ISO","HR/FB","FB%","Hard%","playerid"
"Yordan Alvarez","HOU","67","23","202",".342","31.9%","37.3%","43.5%","19556"
"Paul Goldschmidt","STL","74","19","194",".288","19.8%","44.0%","35.8%","9218"
"Mike Trout","LAA","69","23","187",".366","24.0%","57.5%","37.7%","10155"
"Rafael Devers","BOS","74","17","172",".264","19.8%","35.4%","38.7%","17350"
"Bryce Harper","PHI","64","15","165",".281","22.1%","35.4%","36.1%","11579"
"Aaron Judge","NYY","75","29","174",".341","33.0%","42.3%","45.2%","15640"
"Jose Ramirez","CLE","71","16","172",".300","12.0%","53.8%","31.2%","13510"
"Alejandro Kirk","TOR","67","10","162",".195","15.9%","33.3%","36.5%","22581"
"Manny Machado","SDP","67","12","162",".218","14.3%","40.4%","37.0%","11493"
"Willson Contreras","CHC","67","13","156",".238","20.3%","34.4%","45.2%","11609"
"Josh Bell","WSN","77","11","150",".188","15.1%","30.8%","29.1%","13145"
"Pete Alonso","NYM","75","22","154",".280","22.7%","44.5%","35.8%","19251"
"J.D. Martinez","BOS","66","8","148",".185","11.6%","35.4%","35.4%","6184"
"Ty France","SEA","70","10","156",".160","14.9%","28.8%","33.5%","17982"
"Mookie Betts","LAD","60","17","147",".261","18.3%","46.7%","34.7%","13611"
"Luis Arraez","MIN","69","4","150",".092","6.2%","28.5%","28.5%","18568"
"Freddie Freeman","LAD","75","9","146",".186","10.8%","34.9%","35.7%","5361"
"Xander Bogaerts","BOS","73","6","145",".143","9.0%","31.6%","30.2%","12161"
"C.J. Cron","COL","76","17","128",".240","20.2%","39.4%","31.5%","12546"
"Jose Altuve","HOU","60","15","150",".251","20.0%","40.8%","31.0%","5417"
"Brandon Drury","CIN","65","16","133",".258","20.3%","41.1%","38.0%","11615"
"Andres Gimenez","CLE","64","9","144",".194","17.0%","32.5%","28.4%","19950"
"Jeff McNeil","NYM","67","4","142",".134","5.9%","34.3%","28.4%","15362"
"Garrett Cooper","MIA","66","5","140",".143","10.6%","26.1%","33.9%","15279"
"Jazz Chisholm Jr.","MIA","60","14","139",".282","23.3%","40.8%","36.7%","20454"
"Ian Happ","CHC","74","8","133",".177","12.1%","33.2%","34.2%","17919"
"Giancarlo Stanton","NYY","63","19","141",".276","30.6%","39.2%","42.4%","4949"
